Year,Expectancy,Growth
2023,79.11,0.08%
2022,79.05,0.08%
2021,78.99,0.08%
2020,78.93,0.08%
2019,78.87,0.08%
2018,78.81,-0.03%
2017,78.84,-0.03%
2016,78.86,-0.03%
2015,78.89,-0.03%
2014,78.91,-0.03%
2013,78.94,0.19%
2012,78.79,0.19%
2011,78.64,0.19%
2010,78.49,0.19%
2009,78.34,0.19%
2008,78.19,0.26%
2007,77.99,0.26%
2006,77.79,0.26%
2005,77.58,0.26%
2004,77.38,0.26%
2003,77.18,0.18%
2002,77.04,0.18%
2001,76.9,0.19%
2000,76.75,0.19%
1999,76.61,0.19%
1998,76.47,0.21%
1997,76.31,0.22%
1996,76.14,0.22%
1995,75.98,0.22%
1994,75.81,0.22%
1993,75.65,0.20%
1992,75.5,0.20%
1991,75.35,0.20%
1990,75.19,0.20%
1989,75.04,0.20%
1988,74.89,0.14%
1987,74.79,0.14%
1986,74.68,0.14%
1985,74.58,0.14%
1984,74.47,0.14%
1983,74.37,0.30%
1982,74.15,0.30%
1981,73.92,0.30%
1980,73.7,0.30%
1979,73.47,0.31%
1978,73.25,0.50%
1977,72.88,0.50%
1976,72.52,0.51%
1975,72.15,0.51%
1974,71.79,0.51%
1973,71.42,0.30%
1972,71.21,0.30%
1971,71,0.30%
1970,70.78,0.30%
1969,70.57,0.30%
1968,70.36,0.07%
1967,70.31,0.07%
1966,70.26,0.07%
1965,70.21,0.07%
1964,70.16,0.07%
1963,70.11,0.13%
1962,70.02,0.13%
1961,69.93,0.13%
1960,69.84,0.13%
1959,69.75,0.13%
1958,69.66,0.27%
1957,69.47,0.27%
1956,69.28,0.28%
1955,69.09,0.28%
1954,68.9,0.28%
1953,68.71,0.28%
1952,68.52,0.28%
1951,68.33,0.28%
1950,68.14,0.00%
,,
https://www.macrotrends.net/countries/USA/united-states/life-expectancy,,
