County,1985,1986,1988,1989,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Barbour County,7,11,6,5,13,9,2,5,15,5,9,5,28,4,7,10,12,23,33,26,13,21,17,25,7,20,22,78
Berkeley County,55,74,42,72,59,91,77,87,162,222,241,233,103,182,122,149,190,283,244,520,488,877,881,858,786,821,732,476
Boone County,28,6,1,12,1,23,20,10,12,22,36,17,67,50,53,33,71,96,57,56,23,77,116,203,172,136,84,122
Braxton County,0,6,8,7,33,6,15,12,43,18,20,34,47,48,62,53,30,51,70,89,41,111,62,95,85,118,98,76
Brooke County,8,6,9,8,14,17,7,44,14,29,33,44,34,44,26,80,24,42,80,70,33,29,44,62,20,54,41,54
Cabell County,184,102,64,140,152,185,243,325,380,500,588,566,381,307,228,188,411,554,606,603,434,508,619,521,379,493,392,695
Calhoun County,3,6,6,5,2,4,2,3,15,27,27,35,1,20,6,11,13,5,6,32,14,51,46,49,68,80,55,57
Clay County,11,5,1,8,8,13,9,12,38,30,11,10,29,37,23,21,8,46,68,66,27,53,60,75,93,73,72,75
Doddridge County,3,0,0,8,2,0,0,5,4,2,2,2,3,4,14,13,15,18,24,27,11,8,34,33,32,31,37,36
Fayette County,83,27,35,74,33,47,35,54,63,68,44,59,56,40,50,75,49,58,78,89,69,73,107,94,122,99,114,107
Gilmer County,3,5,0,7,4,3,3,7,6,15,4,14,8,15,30,12,2,10,9,30,3,10,31,7,43,67,59,62
Grant County,6,1,1,0,10,0,0,1,8,6,14,13,4,8,9,6,12,5,25,70,31,50,60,57,56,45,54,89
Greenbrier County,27,43,36,16,32,17,17,23,50,61,42,66,44,20,14,22,23,36,86,66,74,114,85,71,37,73,72,83
Hampshire County,5,5,6,6,4,8,10,6,6,9,6,5,9,41,32,26,45,57,102,131,89,73,71,64,82,53,32,39
