County,2019,2020,2021,2022
Barbour County,226.237,205.443,198.76,204.16
Berkeley County,140.189,137.149,134.911,131.264
Boone County,131.035,128.706,128.599,124.311
Braxton County,226.237,205.443,198.76,204.16
Brooke County,191.75,179.177,173.634,162.973
Cabell County,171.252,160.184,154.885,159.413
Calhoun County,226.237,205.443,198.76,204.16
Clay County,131.035,128.706,128.599,124.311
Doddridge County,226.237,205.443,198.76,204.16
Fayette County,155.026,157.141,150.662,152.888
Gilmer County,226.237,205.443,198.76,204.16
Grant County,226.237,205.443,198.76,204.16
Greenbrier County,187.881,186.958,165.971,173.781
Hampshire County,165.827,168.75,160.239,162.628
Hancock County,191.75,179.177,173.634,162.973
Hardy County,226.237,205.443,198.76,204.16
Harrison County,226.237,205.443,198.76,204.16
Jackson County,226.237,205.443,198.76,204.16
Jefferson County,84.851,84.732,83.509,80.084
Kanawha County,131.035,128.706,128.599,124.311
Lewis County,226.237,205.443,198.76,204.16
Lincoln County,171.252,160.184,154.885,159.413
Logan County,187.881,186.958,165.971,173.781
Marion County,226.237,205.443,198.76,204.16
Marshall County,207.358,181.24,167.591,171.673
Mason County,226.237,205.443,198.76,204.16
McDowell County,187.881,186.958,165.971,173.781
Mercer County,187.881,186.958,165.971,173.781
Mineral County,136.662,135.918,134.388,128.018
Mingo County,187.881,186.958,165.971,173.781
Monongalia County,137.078,130.351,127.643,126.43
Monroe County,187.881,186.958,165.971,173.781
Morgan County,226.237,205.443,198.76,204.16
Nicholas County,187.881,186.958,165.971,173.781
Ohio County,207.358,181.24,167.591,171.673
Pendleton County,226.237,205.443,198.76,204.16
Pleasants County,226.237,205.443,198.76,204.16
Pocahontas County,187.881,186.958,165.971,173.781
Preston County,137.078,130.351,127.643,126.43
Putnam County,171.252,160.184,154.885,159.413
Raleigh County,155.026,157.141,150.662,152.888
Randolph County,226.237,205.443,198.76,204.16
Ritchie County,226.237,205.443,198.76,204.16
Roane County,226.237,205.443,198.76,204.16
Summers County,187.881,186.958,165.971,173.781
Taylor County,226.237,205.443,198.76,204.16
Tucker County,226.237,205.443,198.76,204.16
Tyler County,226.237,205.443,198.76,204.16
Upshur County,226.237,205.443,198.76,204.16
Wayne County,171.252,160.184,154.885,159.413
Webster County,187.881,186.958,165.971,173.781
Wetzel County,226.237,205.443,198.76,204.16
Wirt County,145.012,131.578,136.899,140.291
Wood County,145.012,131.578,136.899,140.291
Wyoming County,187.881,186.958,165.971,173.781
