County,Area,2019,2020,2021,2022
Barbour County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Berkeley County,Hagerstown-Martinsburg MD-WV,2.220,2.481,1.160,0.777
Boone County,Charleston WV,1.092,0.447,0.515,0.559
Braxton County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Brooke County,Weirton-Steubenville WV-OH,na,0.912,1.159,1.668
Cabell County,Huntington-Ashland WV-KY-OH,0.524,1.406,0.524,0.943
Calhoun County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Clay County,Charleston WV,1.092,0.447,0.515,0.559
Doddridge County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Fayette County,Beckley WV,2.589,2.567,1.636,1.810
Gilmer County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Grant County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Greenbrier County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Hampshire County,Winchester VA-WV,na,0.855,1.166,1.496
Hancock County,Weirton-Steubenville WV-OH,na,0.912,1.159,1.668
Hardy County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Harrison County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Jackson County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Jefferson County,Washington-Arlington-Alexandria DC-VA-MD-WV,0.561,0.571,0.709,0.633
Kanawha County,Charleston WV,1.092,0.447,0.515,0.559
Lewis County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Lincoln County,Huntington-Ashland WV-KY-OH,0.524,1.406,0.524,0.943
Logan County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Marion County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Marshall County,Wheeling WV-OH,na,na,1.269,1.349
Mason County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
McDowell County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Mercer County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Mineral County,Cumberland MD-WV,na,na,na,1.569
Mingo County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Monongalia County,Morgantown WV,1.452,1.545,1.126,1.293
Monroe County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Morgan County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Nicholas County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Ohio County,Wheeling WV-OH,na,na,1.269,1.349
Pendleton County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Pleasants County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Pocahontas County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Preston County,Morgantown WV,1.452,1.545,1.126,1.293
Putnam County,Huntington-Ashland WV-KY-OH,0.524,1.406,0.524,0.943
Raleigh County,Beckley WV,2.589,2.567,1.636,1.810
Randolph County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Ritchie County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Roane County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Summers County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Taylor County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Tucker County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Tyler County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Upshur County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Wayne County,Huntington-Ashland WV-KY-OH,0.524,1.406,0.524,0.943
Webster County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
Wetzel County,Northern West Virginia nonmetropolitan area,3.351,2.653,3.211,4.449
Wirt County,Parkersburg-Vienna WV,0.984,na,1.059,1.043
Wood County,Parkersburg-Vienna WV,0.984,na,1.059,1.043
Wyoming County,Southern West Virginia nonmetropolitan area,6.180,5.287,6.428,7.555
