County,Area,2019,2020,2021,2022
Barbour County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Berkeley County,Hagerstown-Martinsburg MD-WV,58.763,54.808,61.615,57.784
Boone County,Charleston WV,32.551,33.212,32.187,29.560
Braxton County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Brooke County,Weirton-Steubenville WV-OH,98.367,94.060,81.990,76.632
Cabell County,Huntington-Ashland WV-KY-OH,67.357,64.422,63.484,60.922
Calhoun County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Clay County,Charleston WV,32.551,33.212,32.187,29.560
Doddridge County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Fayette County,Beckley WV,32.093,30.839,32.076,30.574
Gilmer County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Grant County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Greenbrier County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Hampshire County,Winchester VA-WV,83.387,88.665,79.134,80.934
Hancock County,Weirton-Steubenville WV-OH,98.367,94.060,81.990,76.632
Hardy County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Harrison County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Jackson County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Jefferson County,Washington-Arlington-Alexandria DC-VA-MD-WV,17.091,16.850,15.377,14.770
Kanawha County,Charleston WV,32.551,33.212,32.187,29.560
Lewis County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Lincoln County,Huntington-Ashland WV-KY-OH,67.357,64.422,63.484,60.922
Logan County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Marion County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Marshall County,Wheeling WV-OH,62.466,54.193,48.173,46.728
Mason County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
McDowell County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Mercer County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Mineral County,Cumberland MD-WV,61.302,60.290,59.069,53.861
Mingo County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Monongalia County,Morgantown WV,37.652,35.374,38.265,37.027
Monroe County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Morgan County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Nicholas County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Ohio County,Wheeling WV-OH,62.466,54.193,48.173,46.728
Pendleton County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Pleasants County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Pocahontas County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Preston County,Morgantown WV,37.652,35.374,38.265,37.027
Putnam County,Huntington-Ashland WV-KY-OH,67.357,64.422,63.484,60.922
Raleigh County,Beckley WV,32.093,30.839,32.076,30.574
Randolph County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Ritchie County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Roane County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Summers County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Taylor County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Tucker County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Tyler County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Upshur County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Wayne County,Huntington-Ashland WV-KY-OH,67.357,64.422,63.484,60.922
Webster County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
Wetzel County,Northern West Virginia nonmetropolitan area,67.679,68.857,65.374,63.522
Wirt County,Parkersburg-Vienna WV,46.376,49.902,51.440,49.132
Wood County,Parkersburg-Vienna WV,46.376,49.902,51.440,49.132
Wyoming County,Southern West Virginia nonmetropolitan area,47.407,47.523,41.081,43.819
