County,Area,2019,2020,2021,2022
Barbour County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Berkeley County,Hagerstown-Martinsburg MD-WV,33.627,30.739,31.666,32.139
Boone County,Charleston WV,51.834,48.299,48.797,47.140
Braxton County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Brooke County,Weirton-Steubenville WV-OH,41.698,35.862,38.888,39.365
Cabell County,Huntington-Ashland WV-KY-OH,56.613,45.721,46.031,51.681
Calhoun County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Clay County,Charleston WV,51.834,48.299,48.797,47.140
Doddridge County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Fayette County,Beckley WV,66.044,66.366,62.735,62.758
Gilmer County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Grant County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Greenbrier County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Hampshire County,Winchester VA-WV,39.500,39.934,36.948,38.547
Hancock County,Weirton-Steubenville WV-OH,41.698,35.862,38.888,39.365
Hardy County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Harrison County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Jackson County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Jefferson County,Washington-Arlington-Alexandria DC-VA-MD-WV,36.987,37.670,37.085,35.248
Kanawha County,Charleston WV,51.834,48.299,48.797,47.140
Lewis County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Lincoln County,Huntington-Ashland WV-KY-OH,56.613,45.721,46.031,51.681
Logan County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Marion County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Marshall County,Wheeling WV-OH,94.516,79.927,67.630,69.055
Mason County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
McDowell County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Mercer County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Mineral County,Cumberland MD-WV,38.416,35.799,37.988,33.798
Mingo County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Monongalia County,Morgantown WV,51.600,49.431,45.292,45.609
Monroe County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Morgan County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Nicholas County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Ohio County,Wheeling WV-OH,94.516,79.927,67.630,69.055
Pendleton County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Pleasants County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Pocahontas County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Preston County,Morgantown WV,51.600,49.431,45.292,45.609
Putnam County,Huntington-Ashland WV-KY-OH,56.613,45.721,46.031,51.681
Raleigh County,Beckley WV,66.044,66.366,62.735,62.758
Randolph County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Ritchie County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Roane County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Summers County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Taylor County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Tucker County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Tyler County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Upshur County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Wayne County,Huntington-Ashland WV-KY-OH,56.613,45.721,46.031,51.681
Webster County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
Wetzel County,Northern West Virginia nonmetropolitan area,99.424,81.869,78.207,79.254
Wirt County,Parkersburg-Vienna WV,48.170,38.154,37.587,40.468
Wood County,Parkersburg-Vienna WV,48.170,38.154,37.587,40.468
Wyoming County,Southern West Virginia nonmetropolitan area,81.930,82.186,69.014,71.083
