County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brooke County,6.58,6.58,6.49,6.49,7.29,7.29,7.69,7.69,6.26,6.26,6.26,6.26,6.26
Hancock County,6.58,6.58,6.49,6.49,7.29,7.29,7.69,7.69,6.26,6.26,6.26,6.26,6.26
Marshall County,6.58,6.58,6.49,6.49,7.29,7.29,7.69,7.69,6.26,6.26,6.26,6.26,6.26
Ohio County,6.58,6.58,6.49,6.49,7.29,7.29,7.69,7.69,6.26,6.26,6.26,6.26,6.26
Wetzel County,6.58,6.58,6.49,6.49,7.29,7.29,7.69,7.69,6.26,6.26,6.26,6.26,6.26
Berkeley County,6.51,6.51,7.45,7.45,6.82,6.82,8.19,8.19,7.07,7.07,6.94,6.94,6.94
Grant County,6.51,6.51,7.45,7.45,6.82,6.82,8.19,8.19,7.07,7.07,6.94,6.94,6.94
Hampshire County,6.51,6.51,7.45,7.45,6.82,6.82,8.19,8.19,7.07,7.07,6.94,6.94,6.94
Hardy County,6.51,6.51,7.45,7.45,6.82,6.82,8.19,8.19,7.07,7.07,6.94,6.94,6.94
Jefferson County,6.51,6.51,7.45,7.45,6.82,6.82,8.19,8.19,7.07,7.07,6.94,6.94,6.94
Mineral County,6.51,6.51,7.45,7.45,6.82,6.82,8.19,8.19,7.07,7.07,6.94,6.94,6.94
Morgan County,6.51,6.51,7.45,7.45,6.82,6.82,8.19,8.19,7.07,7.07,6.94,6.94,6.94
Pendleton County,6.51,6.51,7.45,7.45,6.82,6.82,8.19,8.19,7.07,7.07,6.94,6.94,6.94
Calhoun County,6.21,6.21,6.71,6.71,6.94,6.94,7.02,7.02,5.46,5.46,5.6,5.6,5.6
Jackson County,6.21,6.21,6.71,6.71,6.94,6.94,7.02,7.02,5.46,5.46,5.6,5.6,5.6
Pleasants County,6.21,6.21,6.71,6.71,6.94,6.94,7.02,7.02,5.46,5.46,5.6,5.6,5.6
Ritchie County,6.21,6.21,6.71,6.71,6.94,6.94,7.02,7.02,5.46,5.46,5.6,5.6,5.6
Roane County,6.21,6.21,6.71,6.71,6.94,6.94,7.02,7.02,5.46,5.46,5.6,5.6,5.6
Tyler County,6.21,6.21,6.71,6.71,6.94,6.94,7.02,7.02,5.46,5.46,5.6,5.6,5.6
Wirt County,6.21,6.21,6.71,6.71,6.94,6.94,7.02,7.02,5.46,5.46,5.6,5.6,5.6
Wood County,6.21,6.21,6.71,6.71,6.94,6.94,7.02,7.02,5.46,5.46,5.6,5.6,5.6
Barbour County,6.51,6.51,7.45,7.45,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Randolph County,6.51,6.51,7.45,7.45,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Tucker County,6.51,6.51,7.45,7.45,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Upshur County,6.51,6.51,7.45,7.45,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Marion County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Monongalia County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Preston County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Taylor County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Braxton County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Doddridge County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Gilmer County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Harrison County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Lewis County,8.24,8.24,10.75,10.75,9.14,9.14,8.75,8.75,10.5,10.5,8.43,8.43,8.43
Cabell County,7.82,7.82,8.67,8.67,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Lincoln County,7.82,7.82,8.67,8.67,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Mason County,7.82,7.82,8.67,8.67,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Wayne County,7.82,7.82,8.67,8.67,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Boone County,7.36,7.36,7.51,7.51,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Clay County,7.36,7.36,7.51,7.51,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Kanawha County,7.36,7.36,7.51,7.51,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Putnam County,7.36,7.36,7.51,7.51,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Logan County,7,7,7.24,7.24,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Mingo County,7,7,7.24,7.24,8.03,8.03,8.72,8.72,6.51,6.51,7.14,7.14,7.14
Greenbrier County,6.51,6.51,7.45,7.45,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Nicholas County,6.51,6.51,7.45,7.45,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Pocahontas County,6.51,6.51,7.45,7.45,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Webster County,6.51,6.51,7.45,7.45,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Fayette County,7,7,7.24,7.24,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Monroe County,7,7,7.24,7.24,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
