FIPS,County
54001,Barbour
54003,Berkeley
54005,Boone
54007,Braxton
54009,Brooke
54011,Cabell
54013,Calhoun
54015,Clay
54017,Doddridge
54019,Fayette
54021,Gilmer
54023,Grant
54025,Greenbrier
54027,Hampshire
54029,Hancock
54031,Hardy
54033,Harrison
54035,Jackson
54037,Jefferson
54039,Kanawha
54041,Lewis
54043,Lincoln
54045,Logan
54047,McDowell
54049,Marion
54051,Marshall
54053,Mason
54055,Mercer
54057,Mineral
54059,Mingo
54061,Monongalia
54063,Monroe
54065,Morgan
54067,Nicholas
54069,Ohio
54071,Pendleton
54073,Pleasants
54075,Pocahontas
54077,Preston
54079,Putnam
54081,Raleigh
54083,Randolph
54085,Ritchie
54087,Roane
54089,Summers
54091,Taylor
54093,Tucker
54095,Tyler
54097,Upshur
54099,Wayne
54101,Webster
54103,Wetzel
54105,Wirt
54107,Wood
54109,Wyoming
